index src_type src_gid src_vis_x src_vis_y presyn_type N_syn
0 transient_OFF 1 118.538 57.991 LGN_exc 30
0 transient_OFF 2 115.050 69.551 LGN_exc 30
1 transient_ON 5 135.303 56.131 LGN_exc 30
1 transient_ON 9 135.624 60.292 LGN_exc 30
1 transient_ON 10 132.367 57.425 LGN_exc 30
2 transient_ON_OFF 16 130.199 74.639 LGN_exc 30
2 transient_OFF 112 124.489 75.302 LGN_exc 30
3 transient_ON 32 153.932 46.496 LGN_exc 30
3 transient_ON 89 150.473 50.559 LGN_exc 30
4 transient_ON 10 132.367 57.425 LGN_exc 30
4 transient_ON 11 100.196 61.007 LGN_exc 30
5 transient_ON_OFF 3 101.832 50.701 LGN_exc 30
5 transient_OFF 17 93.583 49.319 LGN_exc 30
5 transient_OFF 127 97.359 50.057 LGN_exc 30
6 transient_ON 25 122.253 46.760 LGN_exc 30
6 transient_ON 110 130.755 40.521 LGN_exc 30
6 transient_ON 4 130.582 45.809 LGN_exc 30
6 transient_ON 12 128.584 52.684 LGN_exc 30
6 transient_ON 140 125.860 41.617 LGN_exc 30
7 transient_ON 80 107.666 54.731 LGN_exc 30
8 transient_ON_OFF 73 110.149 72.725 LGN_exc 30
9 transient_OFF 19 125.238 65.909 LGN_exc 30
9 transient_OFF 13 124.165 66.083 LGN_exc 30
10 transient_ON_OFF 98 144.958 68.743 LGN_exc 30
10 transient_OFF 6 137.793 75.763 LGN_exc 30
11 transient_ON 123 126.070 52.717 LGN_exc 30
11 transient_ON 56 122.123 56.324 LGN_exc 30
11 transient_ON 25 122.253 46.760 LGN_exc 30
12 transient_OFF 14 103.823 68.471 LGN_exc 30
12 transient_OFF 7 102.042 59.376 LGN_exc 30
13 transient_ON 27 142.655 78.947 LGN_exc 30
13 transient_ON 15 142.122 75.323 LGN_exc 30
14 transient_OFF 8 128.026 44.924 LGN_exc 30
